|                  passKey                  |        option         |
| pass_rtl_dse2                             | -fgcse                |
| pass_rtl_dse2                             | -fgcse-las            |
| pass_rtl_dse2                             | -fgcse-lm             |
| pass_rtl_dse2                             | -finline-functions    |
| pass_rtl_dse2                             | -ftree-loop-vectorize |
| pass_thread_prologue_and_epilogue         | -fgcse                |
| pass_thread_prologue_and_epilogue         | -fgcse-las            |
| pass_thread_prologue_and_epilogue         | -fgcse-lm             |
| pass_thread_prologue_and_epilogue         | -finline-functions    |
| pass_thread_prologue_and_epilogue         | -ftree-loop-vectorize |
| pass_compare_elim_after_reload            | -fgcse                |
| pass_compare_elim_after_reload            | -fgcse-las            |
| pass_compare_elim_after_reload            | -fgcse-lm             |
| pass_compare_elim_after_reload            | -finline-functions    |
| pass_compare_elim_after_reload            | -ftree-loop-vectorize |
| pass_ree                                  | -fgcse                |
| pass_ree                                  | -fgcse-las            |
| pass_ree                                  | -fgcse-lm             |
| pass_ree                                  | -finline-functions    |
| pass_ree                                  | -ftree-loop-vectorize |
| pass_split_after_reload                   | -fgcse                |
| pass_split_after_reload                   | -fgcse-las            |
| pass_split_after_reload                   | -fgcse-lm             |
| pass_split_after_reload                   | -finline-functions    |
| pass_split_after_reload                   | -ftree-loop-vectorize |
| pass_gcse2                                | -fgcse                |
| pass_gcse2                                | -fgcse-las            |
| pass_gcse2                                | -fgcse-lm             |
| pass_gcse2                                | -finline-functions    |
| pass_gcse2                                | -ftree-loop-vectorize |
| pass_postreload_cse                       | -fgcse                |
| pass_postreload_cse                       | -fgcse-las            |
| pass_postreload_cse                       | -fgcse-lm             |
| pass_postreload_cse                       | -finline-functions    |
| pass_postreload_cse                       | -ftree-loop-vectorize |
| pass_postreload_jump                      | -fgcse                |
| pass_postreload_jump                      | -fgcse-las            |
| pass_postreload_jump                      | -fgcse-lm             |
| pass_postreload_jump                      | -finline-functions    |
| pass_postreload_jump                      | -ftree-loop-vectorize |
| pass_reload                               | -fgcse                |
| pass_reload                               | -fgcse-las            |
| pass_reload                               | -fgcse-lm             |
| pass_reload                               | -finline-functions    |
| pass_reload                               | -ftree-loop-vectorize |
| pass_ira                                  | -fgcse                |
| pass_ira                                  | -fgcse-las            |
| pass_ira                                  | -fgcse-lm             |
| pass_ira                                  | -finline-functions    |
| pass_ira                                  | -ftree-loop-vectorize |
| pass_early_remat                          | -fgcse                |
| pass_early_remat                          | -fgcse-las            |
| pass_early_remat                          | -fgcse-lm             |
| pass_early_remat                          | -finline-functions    |
| pass_early_remat                          | -ftree-loop-vectorize |
| pass_sched                                | -fgcse                |
| pass_sched                                | -fgcse-las            |
| pass_sched                                | -fgcse-lm             |
| pass_sched                                | -finline-functions    |
| pass_sched                                | -ftree-loop-vectorize |
| pass_live_range_shrinkage                 | -fgcse                |
| pass_live_range_shrinkage                 | -fgcse-las            |
| pass_live_range_shrinkage                 | -fgcse-lm             |
| pass_live_range_shrinkage                 | -finline-functions    |
