"option","visibleVarName","storageFieldName"
"-floop-interchange","flag_loop_interchange","x_flag_loop_interchange"
"-floop-nest-optimize","flag_loop_nest_optimize","x_flag_loop_nest_optimize"
"-floop-parallelize-all","flag_loop_parallelize_all","x_flag_loop_parallelize_all"
"-floop-unroll-and-jam","flag_unroll_jam","x_flag_unroll_jam"
"-flra-remat","flag_lra_remat","x_flag_lra_remat"
"-fmath-errno","flag_errno_math","x_flag_errno_math"
"-fmodulo-sched","flag_modulo_sched","x_flag_modulo_sched"
"-fmodulo-sched-allow-regmoves","flag_modulo_sched_allow_regmoves","x_flag_modulo_sched_allow_regmoves"
"-fmove-loop-invariants","flag_move_loop_invariants","x_flag_move_loop_invariants"
"-fnon-call-exceptions","flag_non_call_exceptions","x_flag_non_call_exceptions"
"-fomit-frame-pointer","flag_omit_frame_pointer","x_flag_omit_frame_pointer"
"-fopt-info","flag_opt_info","x_flag_opt_info"
"-foptimize-sibling-calls","flag_optimize_sibling_calls","x_flag_optimize_sibling_calls"
"-foptimize-strlen","flag_optimize_strlen","x_flag_optimize_strlen"
"-fpack-struct","flag_pack_struct","x_flag_pack_struct"
"-fpartial-inlining","flag_partial_inlining","x_flag_partial_inlining"
"-fpeel-loops","flag_peel_loops","x_flag_peel_loops"
"-fpeephole","flag_no_peephole,0","x_flag_no_peephole,0"
"-fpeephole2","flag_peephole2","x_flag_peephole2"
"-fplt","flag_plt","x_flag_plt"
"-fpredictive-commoning","flag_predictive_commoning","x_flag_predictive_commoning"
"-fprefetch-loop-arrays","flag_prefetch_loop_arrays","x_flag_prefetch_loop_arrays"
"-freciprocal-math","flag_reciprocal_math","x_flag_reciprocal_math"
"-freg-struct-return","flag_pcc_struct_return,0","x_flag_pcc_struct_return,0"
"-frename-registers","flag_rename_registers","x_flag_rename_registers"
"-freorder-blocks","flag_reorder_blocks","x_flag_reorder_blocks"
"-freorder-blocks-algorithm=","flag_reorder_blocks_algorithm","x_flag_reorder_blocks_algorithm"
"-freorder-blocks-and-partition","flag_reorder_blocks_and_partition","x_flag_reorder_blocks_and_partition"
"-freorder-functions","flag_reorder_functions","x_flag_reorder_functions"
"-frerun-cse-after-loop","flag_rerun_cse_after_loop","x_flag_rerun_cse_after_loop"
"-freschedule-modulo-scheduled-loops","flag_resched_modulo_sched","x_flag_resched_modulo_sched"
"-frounding-math","flag_rounding_math","x_flag_rounding_math"
"-fsave-optimization-record","flag_save_optimization_record","x_flag_save_optimization_record"
"-fsched-critical-path-heuristic","flag_sched_critical_path_heuristic","x_flag_sched_critical_path_heuristic"
"-fsched-dep-count-heuristic","flag_sched_dep_count_heuristic","x_flag_sched_dep_count_heuristic"
"-fsched-group-heuristic","flag_sched_group_heuristic","x_flag_sched_group_heuristic"
"-fsched-interblock","flag_schedule_interblock","x_flag_schedule_interblock"
"-fsched-last-insn-heuristic","flag_sched_last_insn_heuristic","x_flag_sched_last_insn_heuristic"
"-fsched-pressure","flag_sched_pressure","x_flag_sched_pressure"
"-fsched-rank-heuristic","flag_sched_rank_heuristic","x_flag_sched_rank_heuristic"
"-fsched-spec","flag_schedule_speculative","x_flag_schedule_speculative"
"-fsched-spec-insn-heuristic","flag_sched_spec_insn_heuristic","x_flag_sched_spec_insn_heuristic"
"-fsched-spec-load","flag_schedule_speculative_load","x_flag_schedule_speculative_load"
"-fsched-spec-load-dangerous","flag_schedule_speculative_load_dangerous","x_flag_schedule_speculative_load_dangerous"
"-fsched2-use-superblocks","flag_sched2_use_superblocks","x_flag_sched2_use_superblocks"
"-fschedule-fusion","flag_schedule_fusion","x_flag_schedule_fusion"
"-fschedule-insns","flag_schedule_insns","x_flag_schedule_insns"
"-fschedule-insns2","flag_schedule_insns_after_reload","x_flag_schedule_insns_after_reload"
"-fsection-anchors","flag_section_anchors","x_flag_section_anchors"
"-fsel-sched-pipelining","flag_sel_sched_pipelining","x_flag_sel_sched_pipelining"
"-fsel-sched-pipelining-outer-loops","flag_sel_sched_pipelining_outer_loops","x_flag_sel_sched_pipelining_outer_loops"
"-fsel-sched-reschedule-pipelined","flag_sel_sched_reschedule_pipelined","x_flag_sel_sched_reschedule_pipelined"
"-fselective-scheduling2","flag_selective_scheduling2","x_flag_selective_scheduling2"
"-fshrink-wrap","flag_shrink_wrap","x_flag_shrink_wrap"
"-fshrink-wrap-separate","flag_shrink_wrap_separate","x_flag_shrink_wrap_separate"
"-fsignaling-nans","flag_signaling_nans","x_flag_signaling_nans"
"-fsigned-zeros","flag_signed_zeros","x_flag_signed_zeros"
"-fsimd-cost-model=","flag_simd_cost_model","x_flag_simd_cost_model"
"-fsingle-precision-constant","flag_single_precision_constant","x_flag_single_precision_constant"
"-fsplit-ivs-in-unroller","flag_split_ivs_in_unroller","x_flag_split_ivs_in_unroller"
"-fsplit-loops","flag_split_loops","x_flag_split_loops"
"-fsplit-paths","flag_split_paths","x_flag_split_paths"
"-fsplit-wide-types","flag_split_wide_types","x_flag_split_wide_types"
"-fssa-backprop","flag_ssa_backprop","x_flag_ssa_backprop"
"-fssa-phiopt","flag_ssa_phiopt","x_flag_ssa_phiopt"
"-fstack-clash-protection","flag_stack_clash_protection","x_flag_stack_clash_protection"
"-fstack-protector","flag_stack_protect, 1","x_flag_stack_protect, 1"
"-fstack-protector-all","flag_stack_protect, 2","x_flag_stack_protect, 2"
"-fstack-protector-explicit","flag_stack_protect, 4","x_flag_stack_protect, 4"
"-fstack-protector-strong","flag_stack_protect, 3","x_flag_stack_protect, 3"
"-fstack-reuse=","flag_stack_reuse","x_flag_stack_reuse"
"-fstdarg-opt","flag_stdarg_opt","x_flag_stdarg_opt"
"-fstore-merging","flag_store_merging","x_flag_store_merging"
"-fstrict-volatile-bitfields","flag_strict_volatile_bitfields","x_flag_strict_volatile_bitfields"
"-fthread-jumps","flag_thread_jumps","x_flag_thread_jumps"
"-ftracer","flag_tracer","x_flag_tracer"
"-ftrapv","flag_trapv","x_flag_trapv"
"-ftree-bit-ccp","flag_tree_bit_ccp","x_flag_tree_bit_ccp"
"-ftree-builtin-call-dce","flag_tree_builtin_call_dce","x_flag_tree_builtin_call_dce"
"-ftree-ccp","flag_tree_ccp","x_flag_tree_ccp"
