"-fdump-passes","flag_dump_passes","x_flag_dump_passes"
"-fdump-unnumbered","flag_dump_unnumbered","x_flag_dump_unnumbered"
"-fdump-unnumbered-links","flag_dump_unnumbered_links","x_flag_dump_unnumbered_links"
"-fdwarf2-cfi-asm","flag_dwarf2_cfi_asm","x_flag_dwarf2_cfi_asm"
"-fearly-inlining","flag_early_inlining","x_flag_early_inlining"
"-felide-constructors","flag_elide_constructors","x_flag_elide_constructors"
"-felide-type","flag_elide_type","x_flag_elide_type"
"-feliminate-unused-debug-types","flag_eliminate_unused_debug_types","x_flag_eliminate_unused_debug_types"
"-femit-class-debug-always","flag_emit_class_debug_always","x_flag_emit_class_debug_always"
"-fenforce-eh-specs","flag_enforce_eh_specs","x_flag_enforce_eh_specs"
"-fexpensive-optimizations","flag_expensive_optimizations","x_flag_expensive_optimizations"
"-fext-numeric-literals","flag_ext_numeric_literals","x_flag_ext_numeric_literals"
"-fextern-tls-init","flag_extern_tls_init","x_flag_extern_tls_init"
"-fexternal-blas","flag_external_blas","x_flag_external_blas"
"-ff2c","flag_f2c","x_flag_f2c"
"-ffat-lto-objects","flag_fat_lto_objects","x_flag_fat_lto_objects"
"-ffinite-math-only","flag_finite_math_only","x_flag_finite_math_only"
"-ffloat-store","flag_float_store","x_flag_float_store"
"-fforward-propagate","flag_forward_propagate","x_flag_forward_propagate"
"-ffp-int-builtin-inexact","flag_fp_int_builtin_inexact","x_flag_fp_int_builtin_inexact"
"-ffrontend-loop-interchange","flag_frontend_loop_interchange","x_flag_frontend_loop_interchange"
"-ffrontend-optimize","flag_frontend_optimize","x_flag_frontend_optimize"
"-ffunction-sections","flag_function_sections","x_flag_function_sections"
"-fgcse","flag_gcse","x_flag_gcse"
"-fgcse-after-reload","flag_gcse_after_reload","x_flag_gcse_after_reload"
"-fgcse-las","flag_gcse_las","x_flag_gcse_las"
"-fgcse-lm","flag_gcse_lm","x_flag_gcse_lm"
"-fgcse-sm","flag_gcse_sm","x_flag_gcse_sm"
"-fgimple","flag_gimple","x_flag_gimple"
"-fgnu-unique","flag_gnu_unique","x_flag_gnu_unique"
"-fgnu89-inline","flag_gnu89_inline","x_flag_gnu89_inline"
"-fgraphite","flag_graphite","x_flag_graphite"
"-fgraphite-identity","flag_graphite_identity","x_flag_graphite_identity"
"-fhoist-adjacent-loads","flag_hoist_adjacent_loads","x_flag_hoist_adjacent_loads"
"-fif-conversion","flag_if_conversion","x_flag_if_conversion"
"-fif-conversion2","flag_if_conversion2","x_flag_if_conversion2"
"-fimplement-inlines","flag_implement_inlines","x_flag_implement_inlines"
"-fimplicit-inline-templates","flag_implicit_inline_templates","x_flag_implicit_inline_templates"
"-fimplicit-none","flag_implicit_none","x_flag_implicit_none"
"-fimplicit-templates","flag_implicit_templates","x_flag_implicit_templates"
"-findirect-inlining","flag_indirect_inlining","x_flag_indirect_inlining"
"-finhibit-size-directive","flag_inhibit_size_directive","x_flag_inhibit_size_directive"
"-finit-derived","flag_init_derived","x_flag_init_derived"
"-finline-atomics","flag_inline_atomics","x_flag_inline_atomics"
"-finline-functions","flag_inline_functions","x_flag_inline_functions"
